,count,mean,std,min,25%,50%,75%,max
B_Plasma,27.0,0.04789113863534909,0.047217003439220424,0.00621275516673,0.0173907380568417,0.0260047281323875,0.0584197043090772,0.1678666161424781
Erythroid_Baso,27.0,0.06194013838894961,0.06468506734871135,0.002935171005615,0.0171952150772384,0.0368098159509201,0.08294093737297925,0.26369038060061006
HSPC_Prog,27.0,0.5494370924057487,0.20193992484160597,0.0895865237366001,0.4137839501423404,0.589296574092844,0.6788203390548366,0.8768281535648994
Myeloid_APC,27.0,0.21931413500447872,0.1957775761149566,0.00012679092177,0.0400969202759089,0.21481693363844379,0.3347732085873165,0.8125319040326696
T_NK,27.0,0.1193467466272894,0.14242569490674242,0.0168254611798093,0.04611700125742166,0.0657366307334599,0.10775485213817235,0.6111111111111109
Unknown,27.0,0.0020707489381836483,0.0024815983330520952,0.0,7.39973360959e-05,0.0013633265167007,0.0029246475951117,0.0102311481621826
