gene_symbol,present_in_gse163634
AC004948.1,False
AC004951.1,False
AC004969.1,True
AC004973.1,False
AC004975.2,False
AC004982.1,False
AC004982.2,False
AC004988.1,True
AC004990.1,False
AC004994.1,False
AC004997.1,False
AC005005.3,False
AC005008.2,True
AC005009.1,True
AC005009.2,True
AC005013.1,False
AC005014.2,False
AC005014.3,False
AC005019.2,True
AC005020.2,False
AC005021.1,False
AC005034.2,True
AC005034.3,True
AC005034.4,False
AC005037.1,True
AC005041.1,False
AC005041.3,False
AC005046.1,False
AC005050.1,False
AC005064.1,False
AC005070.3,False
AC005076.1,False
AC005082.1,False
AC005086.1,True
AC005091.1,False
AC005096.1,False
AC005104.1,False
AC005144.1,False
AC005150.1,True
AC005154.4,False
AC005154.5,False
AC005154.6,False
AC005162.2,False
AC005162.3,False
AC005165.1,False
AC005180.1,False
AC005180.2,False
AC005197.1,False
AC005208.1,False
AC005220.1,False
AC005224.1,False
AC005224.2,True
AC005224.3,False
AC005224.4,False
AC005225.2,False
AC005225.3,False
AC005229.4,False
AC005234.1,False
AC005237.1,False
AC005244.2,False
AC005253.1,False
AC005253.2,True
AC005256.1,True
AC005258.1,False
AC005261.1,False
AC005261.2,False
AC005261.3,False
AC005262.2,True
AC005264.1,False
AC005277.1,False
AC005277.2,False
AC005280.2,False
AC005281.1,True
AC005288.1,True
AC005291.1,False
AC005291.2,False
AC005304.1,True
AC005304.2,False
AC005304.3,False
AC005307.1,True
AC005323.2,False
AC005324.1,False
AC005324.3,False
AC005324.4,False
AC005324.5,False
AC005329.1,False
AC005329.2,False
AC005329.3,False
AC005330.1,False
AC005332.1,False
AC005332.3,False
AC005332.4,False
AC005332.5,False
AC005332.6,False
AC005332.7,False
AC005332.8,False
AC005339.1,False
AC005342.1,False
AC005342.2,False
AC005355.1,True
AC005358.2,False
AC005363.2,False
AC005379.1,False
AC005381.1,False
AC005383.1,False
AC005387.1,False
AC005387.2,True
AC005392.2,False
AC005392.3,False
AC005393.1,False
AC005394.1,True
AC005410.2,False
AC005476.2,False
AC005479.1,False
AC005479.2,False
AC005480.1,False
AC005481.1,False
AC005486.1,False
AC005487.1,False
AC005498.1,False
AC005498.2,False
AC005498.3,True
AC005520.1,False
AC005520.2,False
AC005520.5,False
AC005523.1,False
AC005523.2,True
AC005534.1,False
AC005537.1,False
AC005540.1,False
AC005544.1,False
AC005546.1,False
AC005549.1,True
AC005551.1,False
AC005552.1,False
AC005580.1,False
AC005586.1,False
AC005592.1,True
AC005606.1,False
AC005606.2,False
AC005614.1,False
AC005616.1,True
AC005618.1,False
AC005618.2,False
AC005625.1,True
AC005632.4,False
AC005670.1,False
AC005670.2,False
AC005674.1,False
AC005695.1,False
AC005695.2,False
AC005695.3,False
AC005696.1,False
AC005696.2,False
AC005696.3,False
AC005696.4,False
AC005697.1,False
AC005697.2,False
AC005699.1,False
AC005702.1,True
AC005703.3,True
AC005703.4,False
AC005722.2,False
AC005725.1,True
AC005726.1,False
AC005726.2,False
AC005726.4,False
AC005726.5,False
AC005730.2,True
AC005736.3,False
AC005740.3,True
AC005740.4,True
AC005746.2,False
AC005746.3,False
AC005753.1,False
AC005757.1,False
AC005759.1,False
AC005772.1,False
AC005775.1,False
AC005776.2,False
AC005779.1,True
AC005779.2,False
AC005786.2,False
AC005786.3,True
AC005789.1,False
AC005790.1,False
AC005808.1,False
AC005821.1,False
AC005823.2,False
