sample_id,state_HSC,state_Prog,state_GMP,state_MonoDC
AML11_DX,0.009930486593843027,0.7147964250248263,0.2512413108242304,0.024031777557100266
AML13_DX,0.37474747474747494,0.31565656565656564,0.16010101010101016,0.14949494949494938
AML14_DX,0.06954636424282852,0.7266511007338228,0.20013342228152098,0.003669112741827761
AML15_DX,0.307137874912811,0.464078121367124,0.21460125552197162,0.014182748198093441
AML16_DX,0.3539170506912443,0.24654377880184328,0.36129032258064514,0.038248847926267204
AML17_DX,0.2806163828061639,0.16366585563665853,0.19724249797242496,0.3584752635847527
AML18_DX,0.1765071472964575,0.14108141702921065,0.14263517712865134,0.5397762585456807
AML20_DX,0.16478062338693664,0.1538614254516577,0.18066309311097878,0.5006948580504268
AML21_DX,0.3926525109538255,0.09268621503201882,0.13717559824738795,0.3774856757667678
AML22_DX,0.21976653696498055,0.6863813229571984,0.093852140077821,0.0
AML23_DX,0.4416666666666667,0.41111111111111115,0.14722222222222225,0.0
AML24_DX,0.32155708210664047,0.1252862283284265,0.3143604841347727,0.23879620543016025
AML25_DX,0.3756763720690544,0.34836382375676384,0.07060036073177009,0.2053594434424117
AML27_DX,0.20227361818894557,0.20854566836534688,0.17953743629949043,0.40964327714621723
AML3_DX,0.18738428987040465,0.22348585030415233,0.2732081459931235,0.3159217138323195
AML4_DX,0.17837697692507123,0.2533056779880737,0.2107855846512834,0.3575317604355717
AML5_DX,0.0017497812773403165,0.16797900262467194,0.30708661417322836,0.5231846019247595
AML6_DX,0.07420778178900916,0.11432009626955472,0.5784195748094666,0.2330525471319695
AML9_DX,0.0,0.01901629968544462,0.07277666571346862,0.9082070346010868
