sample_id,B.Cell,CD16.Monocytes,CD4.Memory,CD4.Naive,CD8.Effector,CD8.Memory,CLP,Early.Basophil,Early.Erythrocyte,GMP,HSC,Late.Erythrocyte,Monocytes,NK,Plasma,Pre.B.Cell,Progenitor,Unknown,cDC,pDC
AML11_DX,0.0,0.0,0.0003913894324853229,0.0,0.0003913894324853229,0.0,0.002544031311154599,0.00019569471624266145,0.0062622309197651665,0.24755381604696672,0.009784735812133072,0.0,0.023679060665362035,0.00019569471624266145,0.0,0.00410958904109589,0.7043052837573386,0.0005870841487279843,0.0,0.0
AML13_DX,0.0011329305135951663,0.004531722054380665,0.15521148036253776,0.004154078549848943,0.0,0.0011329305135951663,0.012084592145015106,0.029833836858006044,0.043429003021148035,0.1197129909365559,0.2802114803625378,0.0,0.11102719033232629,0.0,0.0,0.0,0.23602719033232628,0.0007552870090634441,0.0007552870090634441,0.0
AML14_DX,0.00015451174289245981,0.0,0.00015451174289245981,0.0010815822002472187,0.0,0.0,0.010661310259579728,0.020704573547589616,0.02843016069221261,0.18541409147095178,0.06443139678615575,0.00015451174289245981,0.0030902348578491965,0.0,0.0,0.012206427688504327,0.6732076637824475,0.0,0.00030902348578491963,0.0
AML15_DX,0.0,0.0,0.00038880248833592535,0.0005832037325038881,0.0,0.0,0.0038880248833592537,0.0033048211508553654,0.15299377916018664,0.17943234836702954,0.2568040435458787,0.0019440124416796269,0.011858475894245723,0.00038880248833592535,0.00019440124416796267,0.00019440124416796267,0.3880248833592535,0.0,0.0,0.0
AML16_DX,0.0005448601525608427,0.003814021067925899,0.0012713403559752997,0.0012713403559752997,0.0,0.00018162005085361425,0.003814021067925899,0.021249545949872866,0.17435524881946968,0.2847802397384671,0.2789683981111515,0.003087540864511442,0.02869596803487105,0.0003632401017072285,0.0003632401017072285,0.0012713403559752997,0.19433345441336725,0.00018162005085361425,0.001452960406828914,0.0
AML17_DX,0.0,0.0017014694508894045,0.0,0.0003093580819798917,0.0,0.0,0.017014694508894045,0.005259087393658159,0.012529002320185615,0.18808971384377418,0.2675947409126063,0.0007733952049497294,0.30270688321732403,0.0,0.0,0.0015467904098994587,0.15607115235885538,0.0024748646558391337,0.0391337973704563,0.004795050270688322
AML18_DX,0.0,0.0118006993006993,0.0001456876456876457,0.0,0.0,0.0,0.010343822843822844,0.0005827505827505828,0.0030594405594405595,0.13374125874125875,0.1655011655011655,0.0,0.42817599067599066,0.0,0.0,0.007284382284382284,0.13228438228438227,0.003787878787878788,0.07794289044289045,0.025349650349650348
AML20_DX,0.0,0.01060070671378092,0.00017667844522968197,0.0,0.0,0.0,0.0176678445229682,0.0215547703180212,0.04540636042402827,0.1607773851590106,0.14664310954063603,0.0,0.4045936395759717,0.0,0.0007067137809187279,0.0028268551236749115,0.13692579505300354,0.0035335689045936395,0.04098939929328622,0.007597173144876325
AML21_DX,0.0005778676683039584,0.0002889338341519792,0.004045073678127709,0.023981508234614275,0.0,0.0002889338341519792,0.013290956370991043,0.004045073678127709,0.0777232013868824,0.11759607049985553,0.33660791678705576,0.004911875180583647,0.26841953192718865,0.0,0.0,0.004334007512279688,0.07945680439179428,0.001444669170759896,0.055186362323028024,0.007801213522103438
AML22_DX,0.0,0.0,0.009535485628660946,0.002588203242065114,0.0,0.0,0.0004086636697997548,0.05367116196703446,0.05843890478136494,0.08214139762975071,0.19234436725241794,0.00013622122326658494,0.0,0.0,0.0,0.0,0.6007355946056395,0.0,0.0,0.0
