sample_id,state_HSC,state_Prog,state_GMP,state_MonoDC,aux_EryBaso,aux_CLP
AML11_DX,0.009784735812133,0.7043052837573386,0.2475538160469667,0.023679060665362,0.006457925636007699,0.0025440313111545
AML13_DX,0.2802114803625378,0.2360271903323262,0.1197129909365559,0.1117824773413896,0.073262839879154,0.0120845921450151
AML14_DX,0.0644313967861557,0.6732076637824475,0.1854140914709517,0.003399258343634,0.0491347342398022,0.0106613102595797
AML15_DX,0.2568040435458787,0.3880248833592535,0.1794323483670295,0.0118584758942457,0.15629860031104192,0.0038880248833592
AML16_DX,0.2789683981111515,0.1943334544133672,0.2847802397384671,0.0301489284416999,0.1956047947693424,0.0038140210679258
AML17_DX,0.2675947409126063,0.1560711523588553,0.1880897138437741,0.3418406805877803,0.0177880897138437,0.017014694508894
AML18_DX,0.1655011655011655,0.1322843822843822,0.1337412587412587,0.506118881118881,0.003642191142191,0.0103438228438228
AML20_DX,0.146643109540636,0.1369257950530035,0.1607773851590106,0.44558303886925793,0.0669611307420494,0.0176678445229682
AML21_DX,0.3366079167870557,0.0794568043917942,0.1175960704998555,0.3236058942502166,0.08176827506501011,0.013290956370991
AML22_DX,0.1923443672524179,0.6007355946056395,0.0821413976297507,0.0,0.1121100667483993,0.0004086636697997
AML23_DX,0.3486842105263157,0.3245614035087719,0.1162280701754386,0.0,0.026315789473684202,0.1600877192982456
AML24_DX,0.3000152601861742,0.1168930260949183,0.2933007782694949,0.2227987181443613,0.039981687776590696,0.0146497787273004
AML25_DX,0.2590618336886993,0.240227434257285,0.048685145700071,0.1416133617626154,0.2887348969438521,0.0003553660270078
AML27_DX,0.15,0.1546511627906976,0.1331395348837209,0.3037790697674418,0.0311046511627906,0.0235465116279069
AML3_DX,0.1773910866299449,0.2115673510265398,0.2586379569354031,0.2990736104156234,0.0030045067601401,0.0230345518277416
AML4_DX,0.1633428300094966,0.2319563152896486,0.193019943019943,0.327397910731244,0.0118708452041785,0.0330009496676163
AML5_DX,0.001695873374788,0.1628038439796495,0.2976257772752967,0.5070661390616167,0.0121537591859807,0.0
AML6_DX,0.0718446601941747,0.1106796116504854,0.56,0.225631067961165,0.0139805825242718,0.0019417475728155
AML9_DX,0.0,0.0188492063492063,0.0721371882086167,0.9002267573696144,0.0,0.0005668934240362
