analysis,response,n_samples,loo_rmse,loo_r2,loo_corr,alpha_full_fit,PC1,PC2,is_blood,RUNX_vs_KMT2A,CBFB_vs_KMT2A,FLT_vs_KMT2A,Other_vs_KMT2A,sigma_var_response
full19,ilr_stem_vs_committed,19,2.1224572628264826,-0.1232944960436646,0.2809811014489719,0.1584893192461114,-0.2765644796653319,-0.3601556245482761,-0.5142056242064017,2.790667965013435,1.895625092874638,3.760491470634395,2.591868292201536,1.6330141002414749
full19,log_aux_erybaso,19,1.9291630116279073,-0.1439141284949348,0.2347940332939819,0.3162277660168379,-0.5685792993396287,-0.2341730700375169,-1.0619810874664524,2.450616165167,0.4420338735964423,2.1125732043905847,2.631095654703471,1.0254702767477872
no_AML23,ilr_stem_vs_committed,18,2.1981436166688297,-0.3163320889222951,0.1144718021447025,0.1584893192461114,-0.4472283127138876,-0.2894107040156417,-1.0865920411227306,2.454964014873133,1.6123351518031597,2.8417027945703928,2.562951421736998,1.4691057989289278
no_AML23,log_aux_erybaso,18,2.059640941839772,-0.2354332314425713,0.1617271162573512,0.3162277660168379,-0.6141544312331294,-0.2158408316709217,-1.2365719316027126,2.363013467049648,0.367078043877551,1.839968701937276,2.63296392003846,1.0699280375747235
