group,metric,n,mean,median,sd,min,max
stable,disp_total_6d,10,2.086601910139886,1.7805593324962796,1.0736998404874194,1.3808464398481908,4.944251590262752
stable,disp_malignant_3d,10,1.5803803145094115,1.4347616372430956,0.7105515838244052,0.5684051962969098,3.1719353175664935
stable,disp_tme_3d,10,1.187454619819182,0.8945917693744427,1.0694807325412345,0.1708706256809959,3.7926837633778665
switching,disp_total_6d,11,5.390148691986709,4.633615849520489,2.0025208661844114,2.999424850936341,9.190840647780554
switching,disp_malignant_3d,11,4.109240046211747,3.709496178740835,1.4178495216792626,2.6883241817801378,7.153147147379242
switching,disp_tme_3d,11,3.080209914643041,2.029240684591356,2.224401987963351,1.1711844483309128,8.285771280991009
