,ilr_stem_vs_committed,ilr_prog_vs_mature,ilr_gmp_vs_monodc,log_aux_erybaso,log_aux_clp
ilr_stem_vs_committed,4.221422285291213,2.1031662187434677,2.177195879562679,2.621655120229477,1.9533931006424
ilr_prog_vs_mature,2.1031662187434677,2.886480628745505,2.9515594100061966,1.5505482012996992,0.2589097758459157
ilr_gmp_vs_monodc,2.177195879562679,2.9515594100061966,3.48918750094602,1.4674115689026441,0.4079399463937996
log_aux_erybaso,2.621655120229477,1.5505482012996992,1.4674115689026441,2.9951396357493434,0.09907361552008542
log_aux_clp,1.9533931006424,0.2589097758459157,0.4079399463937996,0.09907361552008542,3.260464297160279
