axis,alpha,intercept,n_samples,n_genes,rmse_train,r2_train
ilr_stem_vs_committed,0.001,-0.560693798575134,19,17404,2.210367384031704e-07,0.9999999999999878
ilr_prog_vs_mature,0.001,3.3915545618360663,19,17404,2.389060124087923e-07,0.9999999999999792
ilr_gmp_vs_monodc,0.001,2.971788532168338,19,17404,3.0139554656664426e-07,0.9999999999999739
log_aux_clp,0.001,-10.432781600964978,19,17404,3.2237951493245727e-07,0.9999999999999664
log_aux_erybaso,0.001,-5.303956458084061,19,17404,3.7023325338092564e-07,0.9999999999999579
