axis,alpha,intercept,n_samples,n_genes,train_rmse,train_r2,loo_rmse
pc1,5623.413251903491,2.9677699309415684,25,16166,0.6263082039078942,0.789712655630336,1.270632464638094
pc2,10000.0,2.9437892837334694,25,16166,0.8944093587467035,0.5453116442740744,1.3825699729381304
