axis,gene,coefficient
pc1,ACP1,-9.030126199233862e-05
pc1,ACP2,-0.00037559997888770826
pc1,ACP5,0.00029529970077644393
pc1,ACP6,0.0007464529554484001
pc1,ACPP,5.7623764312497075e-05
pc1,ACR,-8.95529406455006e-05
pc1,ACRBP,0.00033120708083224295
pc1,ACRV1,5.3918620693485834e-05
pc1,ACSBG1,0.00017367389019138542
pc1,ACSBG2,-2.8691446194845042e-05
pc1,ACSF2,2.449647926343107e-05
pc1,ACSF3,0.00018571934099876288
pc1,ACSL1,-0.00028616319876287376
pc1,ACSL3,7.03072926928754e-05
pc1,ACSL5,-0.00023217677179301598
pc1,ACSM1,6.979239048061075e-05
pc1,ACSM2B,2.244044283980755e-05
pc1,ACSM3,0.0006360178903333148
pc1,ACSM4,2.1735959669894784e-05
pc1,ACSM5,0.00014514022061252514
pc1,ACSS1,0.0001363427637602943
pc1,ACSS2,0.00030775607900244755
pc1,ACSS3,0.00019515698390470317
pc1,ACTA1,-1.011516607135667e-05
pc1,ACTA2,-4.73241522181692e-05
pc1,ACTA2-AS1,-2.0619195636276717e-05
pc1,ACTC1,5.598661255220149e-06
pc1,ACTG1,-9.907799569847824e-05
pc1,ACTG2,-4.8853405145126615e-06
pc1,ACTL10,-0.00013555704604941083
pc1,ACTL6A,-0.0003346941881577854
pc1,ACTL6B,-1.1891492743749932e-05
pc1,ACTL7A,0.0
pc1,ACTL7B,-2.8818543810848245e-05
pc1,ACTL8,-0.0001430315669311258
pc1,ACTN1-AS1,0.00047475156590908173
pc1,ACTN2,-0.00014367170009259674
pc1,ACTN3,3.7205882601986485e-05
pc1,ACTN4,-5.619570377099943e-05
pc1,ACTR10,0.00016455778323220123
pc1,ACTR1A,-0.0001903821820661111
pc1,ACTR1B,-0.00014120158860896526
pc1,ACTR2,-8.364021148621712e-05
pc1,ACTR3,-0.00016835137427628863
pc1,ACTR3B,-0.0001864382708654809
pc1,ACTR3C,0.00017764280909862736
pc1,ACTR5,0.00011478104186341922
pc1,ACTR6,-0.0001747343750108697
pc1,ACTRT2,0.0
pc1,ACTRT3,-0.00010542328480340675
pc1,ACVR1,-7.714491606464246e-05
pc1,ACVR1B,-0.000575579357146633
pc1,ACVR1C,5.767282718979131e-05
pc1,ACVR2A,-1.970849675357184e-05
pc1,ACVR2B,-9.141024031478694e-05
pc1,ACVR2B-AS1,-2.089078692344142e-05
pc1,ACVRL1,4.986689053532297e-05
pc1,ACY3,0.0013296759044433223
pc1,ACYP1,-7.924396537257492e-05
pc1,ACYP2,0.0003943099374619108
pc1,ADAD1,0.0
pc1,ADAD2,-0.00018668561847581813
pc1,ADAL,0.000396543906302183
pc1,ADAM10,-0.00020494907338802193
pc1,ADAM11,0.00011917410692432616
pc1,ADAM12,-9.797260225507989e-05
pc1,ADAM17,6.602151087796306e-05
pc1,ADAM18,0.0
pc1,ADAM19,-5.3628238895647604e-05
pc1,ADAM20,7.347046337429483e-05
pc1,ADAM21,1.7720668259097727e-06
pc1,ADAM22,-0.0004600806528226871
pc1,ADAM23,-0.0001739660606427751
pc1,ADAM28,0.0003089651439108766
pc1,ADAM29,-7.523835805126943e-06
pc1,ADAM30,1.5422164097697472e-05
pc1,ADAM32,0.0003656569806618064
pc1,ADAM33,5.3600300189810186e-05
pc1,ADAM7,-4.899114221110717e-08
pc1,ADAM8,-0.0003604871003022028
pc1,ADAM9,-0.000452910649674318
pc1,ADAMDEC1,0.0012382403834934256
pc1,ADAMTS1,0.001298416134082237
pc1,ADAMTS10,0.0005900773824780184
pc1,ADAMTS12,8.591799147819544e-05
pc1,ADAMTS13,-3.4397184861166715e-05
pc1,ADAMTS14,5.3528722423384196e-05
pc1,ADAMTS15,3.4576542735333464e-05
pc1,ADAMTS16,8.01567682496308e-07
pc1,ADAMTS17,-5.452600939954457e-05
pc1,ADAMTS18,-7.112873393966678e-06
pc1,ADAMTS19,-2.3847117831181885e-06
pc1,ADAMTS19-AS1,0.0
pc1,ADAMTS2,-0.0005224431155067442
pc1,ADAMTS20,3.4878684860788845e-06
pc1,ADAMTS3,-0.0005416813399255265
pc1,ADAMTS4,-4.5389593930354395e-06
pc1,ADAMTS5,0.00020346633427769723
pc1,ADAMTS6,0.0002976028936202394
pc1,ADAMTS7,-0.00028633504130661094
pc1,ADAMTS8,-2.2504851299830972e-05
pc1,ADAMTS9,-3.100120322222716e-05
pc1,ADAMTS9-AS1,0.0
pc1,ADAMTS9-AS2,2.6412186411345643e-06
pc1,ADAMTSL1,-1.3307678043649257e-05
pc1,ADAMTSL2,-0.00013125407979341772
pc1,ADAMTSL3,5.907089418918439e-05
pc1,ADAMTSL5,-0.00010905310104768683
pc1,ADAP2,-0.0008139002068752149
pc1,ADAR,-0.00011548570127533244
pc1,ADARB1,0.00010056684796069856
pc1,ADARB2,-6.990536999210613e-05
pc1,ADARB2-AS1,0.0002926079501347728
pc1,ADAT2,0.0003502505363444983
pc1,ADCK1,0.00016813298806934301
pc1,ADCK5,-0.0001627840904138985
pc1,ADCY1,8.983202348800565e-05
pc1,ADCY10,-1.4786453093136112e-05
pc1,ADCY2,0.0001291245905099537
pc1,ADCY3,-0.00025759699108481374
pc1,ADCY5,5.003550985753815e-06
pc1,ADCY6,8.405787063299068e-06
