sample_id,pc1_raw,pc1_cal,pc2_raw,pc2_cal
ALL_831,0.1905425346559726,-0.747435040214452,0.13933411747480484,0.1646088859214529
ALL_831r1,0.7743497632325989,-0.8299907393719108,-0.13792796862983625,-0.2235383711467238
ALL_832r1,0.4548130100858363,-0.7848053103958923,0.16617779723204018,0.2021881338228595
ALL_832r2,0.6265476022828271,-0.8090901575755172,-0.3636983745196125,-0.5396009277135545
ALL_833,0.17258698987590515,-0.7448959614218074,0.7019023888556113,0.9521645684089424
ALL_833r2,0.5256372714288648,-0.7948205108358384,0.48316525981066283,0.6459481006235787
ALL_834,0.6395937011695385,-0.810934995669584,0.3606966429816345,0.4745007225598486
ALL_834r1,0.7487335947448792,-0.8263683780928377,-0.31130277566063125,-0.4662508052165224
ALL_834r2,0.6342870223749051,-0.8101845825937419,-0.30346610614017244,-0.45528002366592885
ALL_5,0.47265227798049514,-0.7873279465699792,0.259901226662675,0.3333942881428345
ALL_5r2,0.6294114025402218,-0.8094951252102498,-0.4774295989085964,-0.6988165760187068
ALL_8,0.2762218967552479,-0.7595508882122853,0.7457182577253159,1.0135036773970214
ALL_8r1,1.024846581749221,-0.8654132880782335,0.13568057052795135,0.15949417930608184
ALL_836,0.5688154741969176,-0.8009263049120268,0.3518926395548916,0.4621757421439565
ALL_836r1,1.4420311583023961,-0.9244070153039582,0.7921994606372529,1.0785740650182438
ALL_24,0.8405531779437232,-0.839352509697046,0.02182825169023017,0.00010900736073787831
ALL_837,0.7779283864843758,-0.8304967895372913,-0.19600958004931268,-0.3048485079753888
ALL_837r1,0.8148911968582304,-0.8357236700962696,-0.07744560101283948,-0.13886734590360295
ALL_27,1.0786420264103713,-0.8730204575823102,0.34603813766738245,0.45397985470379815
ALL_27r1,0.3955021726207253,-0.7764182137398872,0.15485960837231616,0.1863434721072888
ALL_27r2,0.4317456602702663,-0.7815433754651155,0.23368050260758233,0.2966871340442943
ALL_48r1,0.4296843299314954,-0.78125188444037,0.18204087087549192,0.2243953119115813
ALL_109r1,0.592114478989668,-0.8042209979822514,-0.5335678942958233,-0.7774062082225542
ALL_109r2,0.5130186008904949,-0.7930361150323253,-0.27197328079252125,-0.41119230165620346
ALL_124r1,0.6152477893234556,-0.8074922603355603,0.004375734613662363,-0.024323278810724776
ALL_838,0.7151502303708526,-0.8216193822081566,0.0678193365766786,0.06449326450553695
ALL_838r1,0.5201417123124861,-0.7940433883493286,-0.00575482566017449,-0.03850534473289195
ALL_128r1,0.6697510638988096,-0.8151995234845789,-0.024296416005075372,-0.06446225624274371
ALL_128r2,0.5459820896812011,-0.7976974548215235,0.1654191653122723,0.20112610293750022
ALL_202,0.7316233238705183,-0.8239488287867246,-0.10241242307785825,-0.17381912614300027
ALL_202r1,0.34767180220896776,-0.7696545604704166,0.12354047162501125,0.14249890182002056
ALL_205,0.6536031371716313,-0.8129160584713829,0.28330310957531957,0.36615526455468145
ALL_205r1,0.58909058552495,-0.803793391698982,0.32457004102898424,0.42392604193141664
ALL_210,0.4215829687412125,-0.780106277629674,0.3415501836385064,0.4476970373498998
ALL_210r1,0.3925992562523888,-0.7760077147281365,0.23190037679983844,0.29419508416030365
ALL_244,0.6175169939998559,-0.8078131466991094,0.27360723410076515,0.35258172652358344
ALL_244r1,0.5183552752112681,-0.7937907697508035,-0.4429509169069701,-0.6505488664509214
ALL_839,0.5854160103434132,-0.8032737730502749,0.048367444225586365,0.037261994745803606
ALL_839r1,0.711385287849466,-0.8210869847883807,-0.5140741441920329,-0.750116340577603
ALL_257,0.6710224783409129,-0.8153793131532383,0.5802263463780579,0.781826738227758
ALL_257r1,0.6573629424668601,-0.8134477294402407,0.5042924382693896,0.6755246521224004
ALL_317,0.2838695168190508,-0.7606323318641516,0.5229103578944652,0.7015884192112101
ALL_317r1,0.16476665928340317,-0.7437900949163848,0.4321323310794001,0.5745056196645356
ALL_358,0.7245929824499902,-0.822954673999189,0.1610497233092114,0.19500919401484829
ALL_358r1,0.9996740564822231,-0.861853662021457,0.8145546706008759,1.1098697735316994
ALL_380,0.4646787981633338,-0.7862004233588868,0.6387521718090916,0.8637587431688634
ALL_380r1,0.2129161513635669,-0.7505988749180402,0.5388168978546073,0.7238564470606592
ALL_388,0.5904530020469081,-0.8039860498967712,0.8583973948470147,1.171246478142198
ALL_388r1,0.8343745034363557,-0.8384787884259584,0.10657798606763302,0.11875262502229757
ALL_464,0.44936611858275555,-0.7840350699564788,0.3932523022769696,0.5200763367199517
ALL_464r1,0.3483778375744273,-0.7697544003496992,0.4489346283946123,0.598027644283806
ALL_827,0.5259469916508119,-0.7948643081172259,0.41003325815897806,0.5435684848462752
ALL_827r1,0.7960581062048933,-0.8330604982647513,0.7387185405987453,1.0037045698410532
ALL_680,0.3340473373075721,-0.7677279361147653,0.12593031350560668,0.14584451096482692
ALL_680r1,0.6698844577684291,-0.8152183866017702,0.3267848308137915,0.4270265905568465
817_B,0.1360702259458999,-0.7397321559229281,0.23014158856084288,0.2917329053592964
817_T,0.08921847575461594,-0.7331068885324877,0.8121853802487986,1.1065529350693
845_B,0.12688563731826052,-0.7384333708128549,0.11019939585070793,0.12382234188755221
845_T,0.043422611491102714,-0.7266309331010826,0.5941921990161556,0.8013779414602479
858_B,0.07950977842677798,-0.7317339896429657,0.17859426898500175,0.21957031369853725
