axis,gene,coefficient
ilr_stem_vs_committed,AC002066.1,5.020455361796049e-06
ilr_stem_vs_committed,AC002070.1,-7.608088404949998e-05
ilr_stem_vs_committed,AC002306.1,-0.0005377000537361919
ilr_stem_vs_committed,AC002386.1,0.0
ilr_stem_vs_committed,AC002401.1,0.0
ilr_stem_vs_committed,AC002451.1,-0.00023922446323659352
ilr_stem_vs_committed,AC002454.1,0.00043969138004791016
ilr_stem_vs_committed,AC002480.2,5.929366846861036e-05
ilr_stem_vs_committed,AC002480.3,0.0
ilr_stem_vs_committed,AC002480.4,2.391947536211422e-05
ilr_stem_vs_committed,AC002511.1,1.0896324914433141e-05
ilr_stem_vs_committed,AC002511.2,-7.129214232444071e-06
ilr_stem_vs_committed,AC002553.1,0.0002546164063108981
ilr_stem_vs_committed,AC003005.2,1.4647457807820266e-05
ilr_stem_vs_committed,AC003006.1,0.0
ilr_stem_vs_committed,AC003035.1,-2.7655008597530903e-05
ilr_stem_vs_committed,AC003043.1,2.5131245569247675e-06
ilr_stem_vs_committed,AC003070.1,8.817321373420358e-06
ilr_stem_vs_committed,AC003092.1,-2.1222791140007e-05
ilr_stem_vs_committed,AC003092.2,0.0
ilr_stem_vs_committed,AC003681.1,-0.0007368026024389369
ilr_stem_vs_committed,AC003956.1,0.00011626853684734034
ilr_stem_vs_committed,AC003958.2,4.330923152282688e-05
ilr_stem_vs_committed,AC003984.1,0.0
ilr_stem_vs_committed,AC003988.1,0.0
ilr_stem_vs_committed,AC004012.1,1.7473552097247984e-07
ilr_stem_vs_committed,AC004053.1,-1.0551110607627425e-05
ilr_stem_vs_committed,AC004069.1,-0.0005043935202713617
ilr_stem_vs_committed,AC004257.1,1.732838992782256e-05
ilr_stem_vs_committed,AC004448.2,1.1789561348264576e-05
ilr_stem_vs_committed,AC004466.1,9.159019729445083e-05
ilr_stem_vs_committed,AC004490.1,8.593483870282126e-05
ilr_stem_vs_committed,AC004492.1,4.6702202931995495e-05
ilr_stem_vs_committed,AC004520.1,0.0006404388558526564
ilr_stem_vs_committed,AC004528.1,8.528169853196466e-05
ilr_stem_vs_committed,AC004543.1,3.46495907103829e-06
ilr_stem_vs_committed,AC004593.3,-5.464960656883756e-06
ilr_stem_vs_committed,AC004637.1,5.794534993583526e-06
