analysis,response,n_samples,loo_rmse,loo_r2,loo_corr,median_alpha_across_outer_folds
full19,ilr_stem_vs_committed,19,2.1738158334377626,-0.17831448901443814,-0.773083261676566,1000.0
full19,ilr_prog_vs_mature,19,1.7738741378475544,-0.1474804672071237,-0.883681925104644,1000.0
full19,ilr_gmp_vs_monodc,19,2.0748078481888412,-0.23711067135661135,-0.6624044487115117,100.0
full19,log_aux_erybaso,19,1.9241165799421256,-0.13793730415722316,-0.19434198362256003,25.11886431509582
full19,log_aux_clp,19,1.8816392051448394,-0.14454208263191615,-0.9308006358127241,1000.0
