sample_id,B_Plasma,Erythroid_Baso,Myeloid_APC,T_NK
T10_Dx,35,11,36,55
T10_EOI,126,205,174,43
T11_Rel,335,1890,290,383
T1_Dx,37,186,150,68
T2_Dx,36,41,588,2209
T3_Dx,134,4,642,2797
T4_Dx,160,30,1346,129
T5_Dx,34,18,3220,52
T6_Dx,179,40,317,4277
T6_EOI,46,481,20,143
T7_Dx,53,2,567,134
T7_EOI,264,1179,167,796
T8_Dx,29,68,726,1854
T8_EOI,78,158,84,196
T9_Dx,61,24,458,139
T9_EOI,131,111,269,157
