leiden,n_cells,top_sample_frac,dominant_prelim_label,dominant_prelim_frac,dx_frac,eoi_frac,rel_frac,dxrel_frac,median_score_T_cell,median_score_NK,median_score_B_cell,median_score_Myeloid,median_score_DC,median_score_Erythroid,median_score_HSPC,median_score_Proliferating,median_score_Blast_TALL,median_score_normal_best,median_score_blast_margin,cluster_lineage_call,cluster_is_malignant,cluster_fine_annotation,Broad_Cellgroup,review_flag
0,4068,0.9889380530973452,HSPC,0.3468534906588004,0.9889380530973452,0.010816125860373648,0.0002458210422812193,0.9891838741396264,1.2057780027389526,1.283300518989563,0.3375282883644104,-0.25432443618774414,-0.3141160011291504,-0.3843928873538971,1.2049065828323364,-0.653408408164978,-0.006395241711288691,1.283300518989563,-1.2896957607008517,NK,False,T_NK,T_NK,True
1,3129,0.4221796100990732,Unknown,0.5126238414829019,0.976350271652285,0.01757750079897731,0.006072227548737616,0.9824224992010226,-0.9434661865234375,-0.5121455192565918,-0.4283352494239807,-0.25432443618774414,-0.3141160011291504,-0.3843928873538971,-0.4328238070011139,-0.653408408164978,-0.45174166560173035,-0.25432443618774414,-0.1974172294139862,Myeloid,False,Myeloid,Myeloid_APC,True
10,1680,0.993452380952381,Blast_TALL,0.5404761904761904,1.0,0.0,0.0,1.0,0.5990837812423706,-0.5121455192565918,-0.4283352494239807,-0.25432443618774414,-0.3141160011291504,-0.3843928873538971,-0.4328238070011139,0.5883196592330933,1.306771159172058,0.5990837812423706,0.7076873779296875,T_cell,True,Blast_TALL,Blast_TALL,True
11,1495,0.44749163879598663,Unknown,0.4983277591973244,0.8220735785953177,0.14247491638795987,0.03545150501672241,0.8575250836120402,-1.2600444555282593,-0.5121455192565918,-0.4283352494239807,-0.25432443618774414,-0.3141160011291504,-0.3843928873538971,-0.4328238070011139,-0.653408408164978,-0.48962539434432983,-0.25432443618774414,-0.2353009581565857,Myeloid,False,Myeloid,Myeloid_APC,True
12,1466,0.5252387448840382,Erythroid,1.0,0.10027285129604366,0.37448840381991816,0.5252387448840382,0.6255115961800819,-1.2600444555282593,-0.5121455192565918,-0.4283352494239807,-0.25432443618774414,-0.3141160011291504,2.9093356132507324,-0.4328238070011139,-0.653408408164978,-1.6409715414047241,2.9093356132507324,-4.5503071546554565,Erythroid,False,Erythroid,Erythroid_Baso,False
13,1107,0.3866305329719964,Erythroid,0.985546522131888,0.1120144534778681,0.5013550135501355,0.3866305329719964,0.4986449864498645,-1.2600444555282593,-0.5121455192565918,-0.4283352494239807,-0.25432443618774414,-0.3141160011291504,2.9416146278381348,-0.4328238070011139,-0.653408408164978,-1.4871220588684082,2.9416146278381348,-4.428736686706543,Erythroid,False,Erythroid,Erythroid_Baso,False
14,1098,0.994535519125683,Blast_TALL,0.4972677595628415,0.994535519125683,0.00546448087431694,0.0,0.994535519125683,0.44428011775016785,0.486234575510025,-0.030622605234384537,-0.25432443618774414,-0.3141160011291504,-0.3843928873538971,0.611327052116394,-0.2173607051372528,1.0519591569900513,0.611327052116394,0.4406321048736572,HSPC,True,Blast_TALL,Blast_TALL,True
15,978,0.21881390593047034,NK,0.7750511247443763,0.6717791411042945,0.2310838445807771,0.09713701431492842,0.7689161554192229,-0.2454790472984314,3.4873249530792236,-0.4283352494239807,0.0694117546081543,0.2446475625038147,-0.3843928873538971,-0.4328238070011139,-0.653408408164978,-1.0372240543365479,3.4873249530792236,-4.5245490074157715,NK,False,T_NK,T_NK,False
16,876,0.2408675799086758,B_cell,0.9942922374429224,0.5513698630136986,0.3972602739726027,0.05136986301369863,0.6027397260273972,-0.8725953102111816,-0.5121455192565918,4.652520179748535,-0.25432443618774414,-0.3141160011291504,-0.3843928873538971,-0.4328238070011139,-0.653408408164978,-1.177539348602295,4.652520179748535,-5.83005952835083,B_cell,False,B_cell,B_Plasma,False
17,862,0.33642691415313225,B_cell,0.32018561484918795,0.3190255220417633,0.34454756380510443,0.33642691415313225,0.6554524361948956,-1.1977062225341797,-0.5121455192565918,1.0157883167266846,-0.047889597713947296,-0.3141160011291504,-0.3843928873538971,-0.4328238070011139,-0.2871825695037842,-0.4870784878730774,1.0157883167266846,-1.502866804599762,B_cell,False,B_cell,B_Plasma,True
