patient_id,dx_sample_id,eoi_sample_id,PC1_strict_dx,PC1_strict_eoi,PC1_strict_delta_eoi_minus_dx,PC2_strict_dx,PC2_strict_eoi,PC2_strict_delta_eoi_minus_dx
T10,T10_Dx,T10_EOI,5.336892389011796,8.936176809971647,3.599284420959851,-3.859342736592237,-5.870414949364218,-2.011072212771981
T6,T6_Dx,T6_EOI,0.3767111068350714,4.760103350175349,4.383392243340277,1.7981940641900855,-1.014783862365105,-2.812977926555191
T7,T7_Dx,T7_EOI,16.59441584614915,4.073291634239167,-12.521124211909983,-9.85000665874262,-1.145870961963265,8.704135696779355
T8,T8_Dx,T8_EOI,5.436472746196211,4.829651600563614,-0.6068211456325967,-1.4421373737101162,-2.247571190645377,-0.8054338169352608
T9,T9_Dx,T9_EOI,14.949949554948184,9.410380096555132,-5.539569458393052,-8.878012667710507,-6.016256453255233,2.8617562144552746
