,ilr_stem_vs_committed,ilr_prog_vs_mature,ilr_gmp_vs_monodc,T_NK_given_known_z,Myeloid_APC_given_known_z,B_Plasma_given_known_z
ilr_stem_vs_committed,1.0,0.5999123224432517,0.5431777935512648,0.20877608052685656,-0.6329605930736941,-0.1709478774836875
ilr_prog_vs_mature,0.5999123224432517,1.0,0.9267623736811146,0.4158865754469655,-0.7683278357845555,0.015400512070320185
ilr_gmp_vs_monodc,0.5431777935512648,0.9267623736811146,1.0,0.43442513122050386,-0.7417345413188917,0.1625974545497877
T_NK_given_known_z,0.20877608052685656,0.4158865754469655,0.43442513122050386,1.0,-0.42464428583191277,0.5453136774107845
Myeloid_APC_given_known_z,-0.6329605930736941,-0.7683278357845555,-0.7417345413188917,-0.42464428583191277,1.0,0.011161220070365076
B_Plasma_given_known_z,-0.1709478774836875,0.015400512070320185,0.1625974545497877,0.5453136774107845,0.011161220070365076,1.0
