cohort,mode,PC1_count,PC1_mean,PC1_std,PC1_median,PC2_count,PC2_mean,PC2_std,PC2_median
GSE227122,strict_transfer,16,8.596836315163527,6.178106091026785,5.740317733606989,16,-4.405696569491285,4.372144053902525,-3.1554076991584052
GSE235063,reference,19,-2.8047739569477637e-16,2.036347963336766,0.0049300069268037,19,4.747664250041788e-17,1.6669064408486254,0.4832767540382463
GSE235923,reference,19,-0.706748231467132,1.5868646819184933,-0.7831344131199192,19,0.11784238820060666,2.100157572380768,0.0230184404414027
