sample_id,patient_id,timepoint_label,time_index,B_Plasma,Erythroid_Baso,HSPC_Prog,Myeloid_APC,T_NK,Unknown,known_total,B_Plasma_given_known,Erythroid_Baso_given_known,HSPC_Prog_given_known,Myeloid_APC_given_known,T_NK_given_known,B_Plasma_given_known_z,Erythroid_Baso_given_known_z,HSPC_Prog_given_known_z,Myeloid_APC_given_known_z,T_NK_given_known_z
AML10_DX,AML10,DX,0,0.0549346467133926,0.008524341731388399,0.6781587421860198,0.23394582307255152,0.0195112710740667,0.00492517522258,0.99507482477742,0.05520654863887293,0.008566533409480175,0.6815153245764322,0.23510375023795915,0.01960784313725454,0.15456130477253535,-0.8416908713389555,0.6621584704214669,0.07778781354641326,-0.7147372983746715
AML11_DX,AML11,DX,0,0.023858214042263,0.0368098159509201,0.6794819359236535,0.0184049079754601,0.24008179959100162,0.0013633265167007,0.9986366734832993,0.02389078498293503,0.03686006825938552,0.6804095563139929,0.01843003412969281,0.24040955631399274,-0.5188689580411904,-0.3960362264174985,0.6565747003082808,-1.0446287632607587,0.8650621002114203
AML12_DX,AML12,DX,0,0.0249507550886407,0.0896913985554825,0.4807616546290215,0.38555482600131313,0.017071569271174897,0.0019697964543663,0.9980302035456337,0.02499999999999986,0.08986842105263147,0.48171052631578926,0.3863157894736841,0.01710526315789432,-0.4950158287141889,0.4389042915229232,-0.3467907813303323,0.8610987868357991,-0.7326428403626645
AML13_DX,AML13,DX,0,0.061904761904761796,0.076190476190476,0.3918367346938774,0.07006802721088419,0.3995464852607707,0.000453514739229,0.999546485260771,0.06193284936479118,0.07622504537205063,0.3920145190562612,0.07009981851179657,0.39972776769509955,0.29920712964803353,0.22400594896111933,-0.7997264475277491,-0.7769681371719581,2.004957307103322
AML14_DX,AML14,DX,0,0.0260047281323875,0.061882909192045504,0.846613822834098,0.010151578361841,0.055346961479627005,0.0,1.0,0.0260047281323875,0.061882909192045504,0.846613822834098,0.010151578361841,0.055346961479627005,-0.47340963901100863,-0.0018986487012949812,1.4958521941583782,-1.087512949451385,-0.4590298726896004
AML15_DX,AML15,DX,0,0.0212025840649327,0.1439456683783335,0.7069736624151067,0.0122577439125393,0.1156203412290871,0.0,1.0,0.0212025840649327,0.1439456683783335,0.7069736624151067,0.0122577439125393,0.1156203412290871,-0.5766774110170176,1.2906810872860786,0.7907147970801888,-1.0766025576878415,-0.027783902225908638
AML16_DX,AML16,DX,0,0.0466183217404173,0.17211780375906452,0.6212816338611808,0.027822998372058497,0.1320112475950863,0.0001479946721918,0.9998520053278082,0.04662522202486674,0.17214328004736515,0.6213735938425102,0.02782711663706324,0.13203078744819394,-0.029975949386516328,1.7348248354129574,0.358462289192163,-0.9959498493188987,0.0896301010192693
AML17_DX,AML17,DX,0,0.0187092095721537,0.0188542422044959,0.5899927483683827,0.3266134880348076,0.043509789702682704,0.0023205221174764,0.9976794778825236,0.018752725686873056,0.018898095653437887,0.5913650239860442,0.3273731647041719,0.0436109899694719,-0.629360423621128,-0.6789572741500447,0.20692877064609244,0.5557632790958202,-0.5429987897184553
AML18_DX,AML18,DX,0,0.021986970684039,0.007600434310532,0.4120521172638435,0.5061074918566774,0.04872421281216061,0.003528773072747,0.996471226927253,0.022064832470716337,0.007627349496050092,0.41351130482157433,0.5078997548351946,0.048896758376464095,-0.5581351785203982,-0.8564840626342817,-0.6911746704843963,1.4909299479329707,-0.5051799991380235
AML19_DX,AML19,DX,0,0.0160262598957325,0.0388105811932804,0.6740683529638924,0.22880865031859407,0.040162193473643304,0.0021239621548561,0.9978760378451439,0.016060371517027595,0.03889318885448901,0.675503095975232,0.22929566563467466,0.040247678018575594,-0.6872581902573526,-0.36401231559476244,0.6317986712507351,0.04770068274293545,-0.5670627252778246
