sample_id,gsm,sample,timepoint,CD4.Naive,B.Cell,CD4.Memory,CD8.Memory,NK,Late.Erythrocyte,CD8.Naive,CD8.Effector,Pre.B.Cell,Early.Erythrocyte,GMP,Plasma,pDC,CLP,HSC,Progenitor,Unknown,Monocytes,CD16.Monocytes,cDC,Early.Basophil
AML16_DX,GSM7494257,AML16,DX,0.31894484412470026,0.2390087929656275,0.11990407673860912,0.09752198241406874,0.08633093525179857,0.053557154276578735,0.04716227018385292,0.029576338928856916,0.002398081534772182,0.0015987210231814548,0.0015987210231814548,0.0007993605115907274,0.0007993605115907274,0.0007993605115907274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AML16_REL,GSM7494258,AML16,REL,0.19955898566703417,0.1874310915104741,0.14884233737596472,0.2205071664829107,0.09151047409040794,0.047409040793825796,0.03197353914002205,0.008820286659316428,0.013230429988974642,0.0,0.011025358324145534,0.011025358324145534,0.0,0.012127894156560088,0.008820286659316428,0.004410143329658214,0.0033076074972436605,0.0,0.0,0.0,0.0
AML16_REM,GSM7494259,AML16,REM,0.2109450805356103,0.0019406171162429653,0.08247622744032602,0.011255579274209199,0.014166504948573647,0.00019406171162429653,0.031049873859887445,0.02018241800892684,0.00019406171162429653,0.011255579274209199,0.002910925674364448,0.0,0.02115272656704832,0.00038812342324859306,0.0067921599068503785,0.0,0.006598098195226082,0.5218319425577334,0.03066175043663885,0.024839899087909956,0.0011643702697457792
AML6_DX,GSM7494260,AML6,DX,0.3415463041631266,0.3933729821580289,0.08581138487680544,0.025488530161427356,0.0237892948173322,0.0,0.04333050127442651,0.0118946474086661,0.0033984706881903144,0.00594732370433305,0.021240441801189464,0.010195412064570943,0.0,0.008496176720475786,0.00594732370433305,0.00594732370433305,0.0016992353440951572,0.00594732370433305,0.0016992353440951572,0.0016992353440951572,0.002548853016142736
AML6_REL,GSM7494261,AML6,REL,0.35522388059701493,0.3164179104477612,0.1582089552238806,0.050746268656716415,0.06865671641791045,0.0029850746268656717,0.011940298507462687,0.0,0.0029850746268656717,0.008955223880597015,0.005970149253731343,0.0029850746268656717,0.0,0.0,0.005970149253731343,0.0029850746268656717,0.0,0.0029850746268656717,0.0029850746268656717,0.0,0.0
AML6_REM,GSM7494262,AML6,REM,0.14062935115566694,0.000556947925368978,0.053188526872737396,0.02729044834307992,0.020050125313283207,0.14536340852130325,0.04399888610414926,0.016986911723753828,0.003898635477582846,0.050960735171261484,0.04399888610414926,0.001113895850737956,0.01642996379838485,0.013088276246170982,0.003063213589529379,0.007797270955165692,0.001392369813422445,0.36480089111668057,0.011695906432748537,0.0328599275967697,0.000835421888053467
AML2_DX,GSM7494263,AML2,DX,0.13270142180094788,0.14218009478672985,0.10900473933649289,0.06635071090047394,0.04265402843601896,0.2985781990521327,0.014218009478672985,0.023696682464454975,0.0,0.052132701421800945,0.018957345971563982,0.0,0.0,0.0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.08530805687203792,0.0,0.0,0.0
AML2_REL,GSM7494264,AML2,REL,0.2678185745140389,0.28293736501079914,0.07775377969762419,0.09287257019438445,0.05399568034557235,0.04319654427645788,0.028077753779697623,0.017278617710583154,0.038876889848812095,0.017278617710583154,0.0021598272138228943,0.0,0.0021598272138228943,0.02159827213822894,0.019438444924406047,0.017278617710583154,0.0,0.01511879049676026,0.0021598272138228943,0.0,0.0
AML2_REM,GSM7494265,AML2,REM,0.11141304347826086,0.0,0.029347826086956522,0.02282608695652174,0.02717391304347826,0.21358695652173912,0.04673913043478261,0.005434782608695652,0.006521739130434782,0.035869565217391305,0.06902173913043479,0.0,0.020652173913043477,0.04184782608695652,0.025,0.02010869565217391,0.0010869565217391304,0.2875,0.020652173913043477,0.013043478260869565,0.002173913043478261
AML15_DX,GSM7494266,AML15,DX,0.24412094064949608,0.135498320268757,0.11086226203807391,0.12206047032474804,0.1769316909294513,0.0593505039193729,0.04703247480403135,0.07278835386338185,0.0,0.0022396416573348264,0.005599104143337066,0.005599104143337066,0.0,0.0022396416573348264,0.0011198208286674132,0.0,0.0,0.006718924972004479,0.007838745800671893,0.0,0.0
AML15_REL,GSM7494267,AML15,REL,0.09992372234935164,0.20747520976353928,0.08771929824561403,0.15026697177726925,0.16857360793287568,0.09687261632341723,0.018306636155606407,0.007627765064836003,0.12204424103737604,0.0030511060259344014,0.0007627765064836003,0.0015255530129672007,0.0015255530129672007,0.016781083142639208,0.0015255530129672007,0.0007627765064836003,0.002288329519450801,0.007627765064836003,0.005339435545385202,0.0,0.0
AML15_REM,GSM7494268,AML15,REM,0.1786504424778761,0.0011061946902654867,0.0702433628318584,0.05807522123893805,0.024336283185840708,0.1532079646017699,0.019358407079646017,0.04756637168141593,0.0,0.015486725663716814,0.06581858407079647,0.0027654867256637168,0.0293141592920354,0.03263274336283186,0.09900442477876106,0.02654867256637168,0.0022123893805309734,0.14103982300884957,0.007190265486725664,0.025442477876106196,0.0
AML3_DX,GSM7494269,AML3,DX,0.22388059701492538,0.09701492537313433,0.15485074626865672,0.125,0.14738805970149255,0.020522388059701493,0.08955223880597014,0.029850746268656716,0.0,0.009328358208955223,0.022388059701492536,0.0,0.0,0.0,0.024253731343283583,0.007462686567164179,0.03171641791044776,0.005597014925373134,0.0,0.009328358208955223,0.0018656716417910447
AML3_REM,GSM7494270,AML3,REM,0.18321468714874484,0.0003746721618583739,0.057699512926189585,0.03934057699512926,0.04645934807043837,0.2199325590108655,0.031097789434245036,0.016485575121768452,0.016485575121768452,0.11952041963282128,0.026976395653802922,0.0,0.017609591607343576,0.03971524915698764,0.0026227051330086175,0.007868115399025852,0.0003746721618583739,0.1476208317721993,0.012364181341326339,0.013862869988759834,0.0003746721618583739
AML7_DX,GSM7494271,AML7,DX,0.5882352941176471,0.17647058823529413,0.029411764705882353,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.029411764705882353,0.0,0.0,0.0
AML7_REL,GSM7494272,AML7,REL,0.3333333333333333,0.11721611721611722,0.17032967032967034,0.08241758241758242,0.08608058608058608,0.06593406593406594,0.056776556776556776,0.03663003663003663,0.0,0.018315018315018316,0.0018315018315018315,0.0018315018315018315,0.0,0.0,0.01098901098901099,0.0018315018315018315,0.0,0.01282051282051282,0.003663003663003663,0.0,0.0
AML7_REM,GSM7494273,AML7,REM,0.2449255751014885,0.004961659900766802,0.10464591790708164,0.037437979251240414,0.03698691926026162,0.10058637798827244,0.02751465944970681,0.02390617952187641,0.0031574199368516014,0.02616147947677041,0.008570139828597204,0.0004510599909788002,0.02706359945872801,0.011276499774470004,0.037889039242219216,0.010374379792512404,0.0013531799729364006,0.2534957149300857,0.007216959855660803,0.03112313937753721,0.0009021199819576004
AML8_DX,GSM7494274,AML8,DX,0.47478991596638653,0.05042016806722689,0.06722689075630252,0.004201680672268907,0.008403361344537815,0.28991596638655465,0.01680672268907563,0.004201680672268907,0.0,0.02100840336134454,0.02100840336134454,0.0,0.0,0.004201680672268907,0.004201680672268907,0.03361344537815126,0.0,0.0,0.0,0.0,0.0
AML8_REL,GSM7494275,AML8,REL,0.45395590142671854,0.029831387808041506,0.191958495460441,0.05058365758754864,0.028534370946822308,0.16472114137483787,0.041504539559014265,0.019455252918287938,0.0,0.0038910505836575876,0.0012970168612191958,0.0,0.0012970168612191958,0.0,0.0,0.0,0.0,0.011673151750972763,0.0,0.0012970168612191958,0.0
AML8_REM,GSM7494276,AML8,REM,0.2145214521452145,0.0,0.10627062706270628,0.012541254125412541,0.01782178217821782,0.06468646864686468,0.029372937293729372,0.013201320132013201,0.005280528052805281,0.0372937293729373,0.032013201320132016,0.0006600660066006601,0.0165016501650165,0.015181518151815182,0.0046204620462046205,0.03564356435643564,0.0033003300330033004,0.3726072607260726,0.007590759075907591,0.006930693069306931,0.0039603960396039604
AML20_DX,GSM7494277,AML20,DX,0.12794117647058822,0.5558823529411765,0.057352941176470586,0.052941176470588235,0.04411764705882353,0.04411764705882353,0.04264705882352941,0.029411764705882353,0.0,0.0029411764705882353,0.004411764705882353,0.008823529411764706,0.0029411764705882353,0.0,0.0,0.0,0.011764705882352941,0.008823529411764706,0.004411764705882353,0.0014705882352941176,0.0
AML20_REM,GSM7494278,AML20,REM,0.1814070351758794,0.001507537688442211,0.04824120603015075,0.033668341708542715,0.019597989949748745,0.2899497487437186,0.023618090452261306,0.008040201005025126,0.005025125628140704,0.02964824120603015,0.06934673366834171,0.0,0.018090452261306532,0.023618090452261306,0.013567839195979899,0.008040201005025126,0.0010050251256281408,0.21256281407035177,0.0020100502512562816,0.009547738693467337,0.001507537688442211
AML5_DX,GSM7494279,AML5,DX,0.28160919540229884,0.5074712643678161,0.05344827586206897,0.016666666666666666,0.04310344827586207,0.010344827586206896,0.05057471264367816,0.008620689655172414,0.0,0.011494252873563218,0.0034482758620689655,0.0,0.0,0.0011494252873563218,0.005172413793103448,0.0005747126436781609,0.0005747126436781609,0.004022988505747126,0.0011494252873563218,0.0005747126436781609,0.0
AML5_REL,GSM7494280,AML5,REL,0.2801003344481605,0.20652173913043478,0.08110367892976589,0.01839464882943144,0.0451505016722408,0.020903010033444816,0.004180602006688963,0.004180602006688963,0.1605351170568562,0.05852842809364549,0.008361204013377926,0.0,0.005852842809364548,0.03177257525083612,0.005016722408026756,0.00919732441471572,0.0,0.051839464882943144,0.0033444816053511705,0.005016722408026756,0.0
AML5_REM,GSM7494281,AML5,REM,0.17090818363273452,0.000998003992015968,0.023952095808383235,0.014970059880239521,0.016467065868263474,0.13248502994011976,0.027944111776447105,0.0124750499001996,0.004491017964071856,0.06811377245508982,0.055139720558882235,0.0,0.06511976047904192,0.09730538922155689,0.06412175648702595,0.04890219560878244,0.000499001996007984,0.1534431137724551,0.011726546906187624,0.030439121756487025,0.000499001996007984
AML17_DX,GSM7494282,AML17,DX,0.2441860465116279,0.27209302325581397,0.11395348837209303,0.14186046511627906,0.08139534883720931,0.023255813953488372,0.03953488372093023,0.07209302325581396,0.004651162790697674,0.0,0.0,0.0,0.0,0.0069767441860465115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
