pseudocount,n_dx_compared,rmse_state_HSC,rmse_state_Prog,rmse_state_GMP,rmse_state_MonoDC,rmse_aux_EryBaso,rmse_aux_CLP,rmse_ilr_stem_vs_committed,rmse_ilr_prog_vs_mature,rmse_ilr_gmp_vs_monodc,rmse_log_aux_erybaso,rmse_log_aux_clp,rmse_ilr_total
0.25,19,0.00012612897216953127,0.00010992619643088885,7.065967141644747e-05,0.0001653585284789048,0.004302739005344805,0.0018213745062867336,0.24914567887671185,0.2020113030385258,0.3490590949858627,0.24629225374223115,0.1116182273920036,0.27369349502110946
0.5,19,0.0002516030034500411,0.0002193193851334263,0.00014098013340389727,0.0003298675229379894,0.004328266568456449,0.0018501404412716836,0.18751643076255042,0.2477713581804788,0.42734340601030124,0.10517289477794235,0.11080124974653426,0.30505488271293674
0.1,19,5.053053762107987e-05,4.403473632293747e-05,2.830476225200024e-05,6.624581946741476e-05,0.004288778511523824,0.0018045737876602789,0.41092903755554683,0.1988529834474768,0.3440783566695939,0.45168353599360817,0.30075068546164097,0.3300480260309292
1.0,19,0.0005006082624280821,0.000436525104812103,0.0002806150952552729,0.0006563656206242602,0.004387424009416874,0.0019103705363806437,0.23433413220905344,0.31456702269888376,0.5411171407305572,0.11133997319280485,0.25874025312957,0.3858638176352826
0.05,19,2.527845673907268e-05,2.202810264714351e-05,1.4159212532874849e-05,3.314001660701915e-05,0.00428435590779983,0.0017990523533604886,0.5508754545580409,0.24119440531581268,0.4174776409646495,0.6092843280670741,0.4555215016420806,0.4226606551737006
0.01,19,5.057803567968793e-06,4.407339841953329e-06,2.832936671844099e-06,6.6307432266232636e-06,0.004280901873992598,0.0017946640300233062,0.8915013095231136,0.40800224968984733,0.7063675850274407,0.9770231373112065,0.8203521811337491,0.6976617102414086
