ecotype_cluster,B.Cell,CD4.Memory,CD4.Naive,CD8.Effector,CD8.Memory,CD8.Naive,GMP,Late.Erythrocyte,NK,Progenitor
1,0.2356967645318972,0.09956675379936684,0.2666815056766197,0.05475979317314785,0.0910589043336273,0.03996574575966103,0.0058019844129174715,0.08302265010309696,0.0873756494915661,0.0
2,0.3702845775503529,0.072068906376571,0.36051522593273627,0.01049916640652295,0.02186151229996775,0.06691205446585514,0.00716424290787805,0.006468443799019775,0.0289949538254134,0.001630509087002775
3,0.21334661269883912,0.10472093464231236,0.24621823365229428,0.02205586262248284,0.08236132431928714,0.036119435468109376,0.01835701389253206,0.0365351589702819,0.12777334364751658,0.02600341573842686
4,0.09790638459107633,0.12615955336790954,0.4732620693056357,0.0236738643434303,0.037188106863526735,0.08824658983059164,0.004608898479500033,0.07629042640457144,0.027546511341993967,0.018328287704507232
