sample_id,B.Cell,CD16.Monocytes,CD4.Memory,CD4.Naive,CD8.Effector,CD8.Memory,CD8.Naive,CLP,Early.Basophil,Early.Erythrocyte,GMP,HSC,Late.Erythrocyte,Monocytes,NK,Plasma,Pre.B.Cell,Progenitor,Unknown,cDC,pDC
AML10_DX,0.029929910967986362,0.0005682894487592347,0.0020837279787838604,0.009471490812653912,0.00037885963250615644,0.0020837279787838604,0.0028414472437961733,0.01401780640272779,0.0043568857738207995,0.004167455957567721,0.2604659973479826,0.10835385489676075,0.0,0.21538170107974997,0.002652017427543095,0.0,0.025004735745406327,0.29532108353854897,0.004925175222580034,0.017995832544042432,0.0
AML11_DX,0.016768916155419224,0.0,0.04376278118609407,0.12324471710974778,0.006134969325153374,0.007361963190184049,0.05248807089297887,0.007225630538513974,0.000136332651670075,0.005316973415132925,0.17246080436264485,0.008316291751874575,0.03135650988411725,0.018404907975460124,0.007089297886843899,0.0,0.007089297886843899,0.49147920927062033,0.0013633265167007499,0.0,0.0
AML12_DX,0.015364412344057781,0.02298095863427446,0.005384110308601445,0.003939592908732764,0.0009192383453709783,0.0009192383453709783,0.0009192383453709783,0.004464871963230466,0.032304661851608664,0.056730137885751805,0.2685489166119501,0.07196323046618516,0.0006565988181221273,0.3541694024950755,0.004990151017728168,0.0,0.00958634274458306,0.13578463558765594,0.001969796454366382,0.008404464871963231,0.0
AML13_DX,0.060090702947845805,0.0027210884353741495,0.13151927437641722,0.22448979591836735,0.007482993197278911,0.013605442176870748,0.015419501133786848,0.007482993197278911,0.017913832199546485,0.027891156462585033,0.07301587301587302,0.16848072562358277,0.030385487528344673,0.06666666666666667,0.007029478458049887,0.0013605442176870747,0.00045351473922902497,0.14285714285714285,0.00045351473922902497,0.00045351473922902497,0.00022675736961451248
AML14_DX,0.01446252259769156,0.00041718815185648727,0.00917813934084272,0.014184397163120567,0.00361563064942289,0.013071895424836602,0.0012515644555694619,0.009734390209984702,0.018634404116256432,0.02920317062995411,0.16868307606730634,0.058128215825337226,0.014045334445835072,0.009456264775413711,0.014045334445835072,0.000556250869141983,0.010985954665554165,0.6100681407314699,0.0,0.0002781254345709915,0.0
AML15_DX,0.020043067748881895,0.0011595163160510187,0.016730163988736127,0.036607586549610736,0.010766937220473746,0.018055325492794434,0.006957097896306112,0.0036441941361603446,0.0028159681961239026,0.13069405333775053,0.15371873447076362,0.21898293854563525,0.010435646844459169,0.011098227596488323,0.026503230081166142,0.0009938711280437303,0.00016564518800728838,0.3306277952625476,0.0,0.0,0.0
AML16_DX,0.04469439100192393,0.003107888116027823,0.02323516353411277,0.060085836909871244,0.00547580287109664,0.018203344679591536,0.008731685659316264,0.003255882788219624,0.017315376646440728,0.14237087464851264,0.2323516353411277,0.22731981648660649,0.012431552464111291,0.023383158206304572,0.01627941394109812,0.0004439840165754033,0.001479946721918011,0.15835429924522718,0.0001479946721918011,0.0011839573775344087,0.0001479946721918011
AML17_DX,0.01696881798404641,0.001595358955765047,0.007106598984771574,0.01551849166062364,0.004496011602610588,0.008846990572878898,0.0024655547498187093,0.016388687454677302,0.004931109499637419,0.011747643219724439,0.17635968092820883,0.25090645395213923,0.002175489485134155,0.2838288614938361,0.005076142131979695,0.0,0.0017403915881073241,0.14633792603335752,0.002320522117476432,0.03669325598259608,0.004496011602610588
AML18_DX,0.009907709011943539,0.010993485342019544,0.006243213897937025,0.027415852334419108,0.0006786102062975027,0.0023072747014115094,0.009907709011943539,0.009771986970684038,0.0031216069489685126,0.004207383279044517,0.1248642779587405,0.15418023887079263,0.0002714440825190011,0.3988870792616721,0.002171552660152009,0.004478827361563518,0.00760043431053203,0.12323561346362649,0.003528773072747014,0.0726112920738328,0.023615635179153095
AML19_DX,0.011585248117397182,0.008882023556671172,0.0054064491214520175,0.018150222050588916,0.0021239621548561497,0.0034755744352191545,0.004441011778335586,0.011392160648773894,0.011392160648773894,0.023363583703417647,0.12917551650897857,0.3421509944004634,0.004054836841089014,0.19115659393705348,0.006564973933191736,0.00019308746862328635,0.004247924309712299,0.19134968140567676,0.0021239621548561497,0.02606680826414366,0.0027032245607260088
