sample_id,CLP,Early.Basophil,Early.Erythrocyte,GMP,HSC,Monocytes,Progenitor,cDC
AML11_DX,0.002544031311154599,0.00019569471624266145,0.0062622309197651665,0.24755381604696672,0.009784735812133072,0.023679060665362035,0.7043052837573386,0.0
AML13_DX,0.012084592145015106,0.029833836858006044,0.043429003021148035,0.1197129909365559,0.2802114803625378,0.11102719033232629,0.23602719033232628,0.0007552870090634441
AML14_DX,0.010661310259579728,0.020704573547589616,0.02843016069221261,0.18541409147095178,0.06443139678615575,0.0030902348578491965,0.6732076637824475,0.00030902348578491963
AML15_DX,0.0038880248833592537,0.0033048211508553654,0.15299377916018664,0.17943234836702954,0.2568040435458787,0.011858475894245723,0.3880248833592535,0.0
AML16_DX,0.003814021067925899,0.021249545949872866,0.17435524881946968,0.2847802397384671,0.2789683981111515,0.02869596803487105,0.19433345441336725,0.001452960406828914
AML17_DX,0.017014694508894045,0.005259087393658159,0.012529002320185615,0.18808971384377418,0.2675947409126063,0.30270688321732403,0.15607115235885538,0.0391337973704563
AML18_DX,0.010343822843822844,0.0005827505827505828,0.0030594405594405595,0.13374125874125875,0.1655011655011655,0.42817599067599066,0.13228438228438227,0.07794289044289045
AML20_DX,0.0176678445229682,0.0215547703180212,0.04540636042402827,0.1607773851590106,0.14664310954063603,0.4045936395759717,0.13692579505300354,0.04098939929328622
AML21_DX,0.013290956370991043,0.004045073678127709,0.0777232013868824,0.11759607049985553,0.33660791678705576,0.26841953192718865,0.07945680439179428,0.055186362323028024
AML22_DX,0.0004086636697997548,0.05367116196703446,0.05843890478136494,0.08214139762975071,0.19234436725241794,0.0,0.6007355946056395,0.0
AML23_DX,0.1600877192982456,0.0043859649122807015,0.021929824561403508,0.1162280701754386,0.34868421052631576,0.0,0.32456140350877194,0.0
AML24_DX,0.014649778727300474,0.0045780558522813975,0.035403631924309474,0.2933007782694949,0.30001526018617425,0.17060888142835343,0.11689302609491836,0.05218983671600794
AML25_DX,0.00035536602700781805,0.05721393034825871,0.23152096659559346,0.04868514570007108,0.25906183368869934,0.14001421464108033,0.24022743425728502,0.0015991471215351812
AML27_DX,0.023546511627906976,0.009302325581395349,0.02180232558139535,0.13313953488372093,0.15,0.2796511627906977,0.15465116279069768,0.024127906976744187
AML3_DX,0.02303455182774161,0.0008763144717075614,0.002128192288432649,0.2586379569354031,0.1773910866299449,0.2443665498247371,0.2115673510265398,0.05470706059088633
AML4_DX,0.03300094966761633,0.0007122507122507123,0.011158594491927826,0.19301994301994302,0.16334283000949668,0.3212250712250712,0.23195631528964863,0.006172839506172839
AML5_DX,0.0,0.010740531373657434,0.0014132278123233466,0.29762577727529677,0.0016958733747880158,0.5067834934991521,0.16280384397964953,0.0002826455624646693
AML6_DX,0.001941747572815534,0.006601941747572815,0.007378640776699029,0.56,0.07184466019417475,0.16737864077669903,0.11067961165048544,0.05825242718446602
AML9_DX,0.0005668934240362812,0.0,0.0,0.07213718820861678,0.0,0.8968253968253969,0.018849206349206348,0.003401360544217687
